"TRANSECT","01/01/1855 12:00:01 AM","01/01/1867 12:00:01 AM","08/01/1924 12:00:01 AM","10/01/1924 12:00:01 AM","11/24/1933 12:00:01 AM","05/12/1951 12:00:01 AM","04/18/1974 12:00:01 AM","12/29/2002 12:00:01 AM","11/25/2003 12:00:01 AM","03/01/2006 12:00:01 AM"
112,NA,-5.0071708309818,NA,-47.9126531321281,-43.4459819486121,-48.9286836726018,-48.8638720149293,-63.9969928849508,NA,NA
113,NA,-5.0008624346152,NA,-50.322932739394,-47.3816991376979,-50.9316205805628,-53.2128586877163,-64.7415027907983,NA,NA
114,NA,-5.1535345664529,NA,-52.2907584297232,-55.321468985169,-52.4123435931842,-56.3337009179921,-70.0586188306727,NA,NA
115,NA,-5.2506767924619,NA,-47.0729572880715,-46.5733560266296,-54.3907762905741,-64.7849278250295,-82.3781569889049,NA,NA
116,NA,-5.1108928634724,NA,-37.2421663217729,-31.0285098673758,-44.5231938710032,-87.9885265101987,-88.329556120945,NA,NA
117,NA,-6.6285894912983,NA,-45.6890557594245,-36.0043139043323,-52.2462409280705,-114.836362895778,-112.529317377819,NA,NA
118,NA,-7.4005661802076,NA,-45.6411061066894,-27.0063998251328,-52.2889763162529,-148.525658044758,-136.205068049704,NA,NA
119,NA,-5.8902744118571,NA,-24.6426436483754,-8.795736102892,-25.5821898504762,-182.266259047992,-35.7586943688046,NA,NA
120,NA,-10.0531686058123,NA,-38.0634201587404,-23.3578326705316,-36.878942220094,-156.556392963273,-135.01473831954,NA,NA
121,NA,-8.6748182423799,NA,-33.2202562885387,-30.8781423715112,-33.1424123392096,-114.311027793589,-101.574981678168,NA,NA
122,NA,-9.1671703305613,NA,-34.8063499842473,-31.9524320938294,-39.6665948138463,-72.7670083639602,-70.9197796035043,NA,NA
123,NA,-5.5091669203921,NA,-22.1510192090031,-14.3220172458493,-26.6191870748237,-38.8875811602451,-36.7073113060746,NA,NA
124,NA,-5.0467094018865,NA,-24.3501653768134,-17.6284422729375,-26.4466975305423,-23.5632730097628,-39.753641956795,NA,NA
125,NA,-5.0909061304926,NA,-25.1337481895603,-20.8146589874927,-28.3569111390249,-18.8813213195542,-36.6179863397757,NA,NA
126,NA,-5.0059549288241,NA,-24.608744860103,-23.1969529417393,-25.2336308252846,-33.8896904254088,-38.7727058932177,NA,NA
127,NA,-5.0060996840641,NA,-29.0736597407274,-25.2422820022451,-28.6412296350611,-28.7114927854832,-34.9220885650222,NA,NA
128,NA,-5.0000327035165,NA,-35.4141300361325,-22.6679926151117,-31.7813456850417,-29.8290547901017,-34.2542934440445,NA,NA
129,NA,-5.1105262369173,NA,-37.4176231870218,-23.9518589850122,-29.4466095800996,-31.9170873031192,-39.8296588356083,NA,NA
130,NA,-5.0040913444401,NA,-39.2104466177208,-18.9326751834856,-28.4219037551882,-31.2133240825968,-40.748653878226,NA,NA
131,NA,-5.0032334244288,NA,-37.6296156491579,-25.7360676366116,-30.474873812335,-31.7018238893401,-37.0819806209081,NA,NA
132,NA,-5.0256330589398,NA,-36.1712144588653,-22.9864649875662,-35.5020508625606,-32.4838185065598,-37.4073986884511,NA,NA
133,NA,-5.1051137392405,NA,-35.0440442965353,-23.240897524144,-33.9892445108347,-32.2471260373324,-35.9930028825598,NA,NA
134,NA,-5.2278810066631,NA,-32.3335275780033,-17.3571365042814,-29.9128357734245,-32.8960333340817,-34.067775959771,NA,NA
135,NA,-5.0021875100732,NA,-29.5135280948504,-14.2811338290066,-30.4372325097936,-31.3671615418944,-29.8207143728451,NA,NA
136,NA,-5.009279631019,NA,-27.2586233356468,-12.1769490615861,-31.4774960234851,-30.4013097397617,-27.451761424497,NA,NA
137,NA,-5.0144831233105,NA,-25.1582427374377,-11.8940564997699,-28.7040385642191,-26.2494259740742,-28.6758396420361,NA,NA
138,NA,-5.200780449772,NA,-23.3439139312546,-8.8083886658214,-24.8382707134103,-23.7868257348392,-31.1579495638219,NA,NA
139,NA,-5.0020768734939,NA,-20.8362241290529,-8.8516520444238,-22.2466325506227,-21.6371353708194,-32.1169978589578,NA,NA
140,NA,-6.735080205303,NA,-23.1224973729588,-5.0264999678372,-23.5730372544041,-22.7017206754006,-26.737530028656,NA,NA
141,NA,-5.0202845739468,NA,-27.3531308980128,-16.6827533934669,-25.5302783305435,-23.1634417536966,-30.1774128851369,NA,NA
142,NA,-5.0007063938842,NA,-26.6845882483691,-14.8448732790873,-22.7119825150058,-17.5834519306625,-25.4994100502416,NA,NA
143,NA,-5.0193347198671,NA,-24.0421468741875,-15.3341958768829,-17.7697516275097,-12.5487584363768,-20.9786360478787,NA,NA
144,NA,-5.014082926536,NA,-28.4237827752617,-20.6276626249357,-18.8642464393352,-16.4234858172251,-22.6270134023004,NA,NA
145,NA,-5.0140829269432,NA,-32.1685991444646,-24.1740546992533,-20.0588837855621,-19.2428868254586,-26.8297816279782,NA,NA
146,NA,-5.010432568419,NA,-35.9017229579405,-22.4549806612449,-24.6380301530593,-20.5419701029838,-27.7386685919239,NA,NA
147,NA,-5.0610593937588,NA,-43.0756795451924,-25.514809352665,-33.5542884176966,-26.0507654341742,-29.6277894818641,NA,NA
148,NA,-5.061059391956,NA,-50.8189900408943,-29.1061902153612,-32.8381084493926,-32.4716666502389,-32.9332595783243,NA,NA
149,NA,-5.1953268341758,NA,-50.8974722681727,-43.8581070870871,-38.9018847267002,-47.8317123841494,-48.4430693748039,NA,NA
150,NA,-5.1566040571544,NA,-46.1247971825345,-33.8939774920412,-32.401752681191,-25.4667984478323,-26.4752589685241,NA,NA
151,NA,-5.0089572181483,NA,-40.533627410311,-28.9111880842925,-28.7146016575821,-22.6644122783995,-35.0934402081856,NA,NA
152,NA,-5.0003058626047,NA,-38.2806784076467,-22.6703328377884,-25.4606396229623,-17.8736381562211,-35.5349998965742,NA,NA
153,NA,-5.0074116209247,NA,-38.595816596321,-18.9251218652355,-25.9146589954478,-11.1792902882887,-9.4709106830307,NA,NA
154,NA,-5.0620736123519,NA,-35.0819912045737,-22.397620858234,-27.577327428659,-10.6149795221234,-26.5841832233289,NA,NA
155,NA,-5.0070300133523,NA,-29.1786878321986,-7.7324950548018,-14.4355252180038,-14.292125606956,-7.3366635468568,NA,NA
156,NA,-5.0070300107492,NA,-31.0032614874962,-6.1503554129764,-8.7009519818743,-12.9503796549419,-6.9106451683279,NA,NA
157,NA,-6.4475593986498,NA,-35.1039574868829,-9.078241048697,-10.9086735058958,-8.2612670284691,-5.0883927428673,NA,NA
158,NA,-7.6866692508825,NA,-36.6194316937386,-7.5035145479678,-16.1017669296488,-5.0042549008773,-10.9556200221455,NA,NA
159,NA,-5.1575931809304,NA,-36.7214740667129,-8.0890654192442,-17.6441962675929,-6.4939574094669,-11.875771449725,NA,NA
160,NA,-5.0628930744167,NA,-40.9058215877402,-14.2113102185987,-24.6880959801841,-12.2759793263344,-18.0663225532562,NA,NA
161,NA,-5.0935344530892,NA,-35.2875711924539,-10.085727599156,-21.2237956048724,-9.2832771884631,-13.9273557873535,NA,NA
162,NA,-5.0935343416846,NA,-44.8255910710859,-21.219789965616,-31.9857278292332,-22.7419691076063,-25.1782436180102,NA,NA
163,NA,-5.0047258711045,NA,-49.1581279097259,-18.1922098913709,-37.4206506277429,-29.0702049991237,-30.8517945323057,NA,NA
164,NA,-5.0076329361392,NA,-47.1574941054373,-13.9550842546055,-33.178728247005,-28.6857745248478,-29.3920611703702,NA,NA
165,NA,-5.0474980772375,NA,-46.1180004655585,-9.7188208898362,-23.7560254932822,-31.7420356928943,-28.6534772464937,NA,NA
166,NA,-5.0167143145862,NA,-49.6912232818908,-19.0690383531287,-29.9455127432874,-19.4435079917844,-16.7895460845686,NA,NA
167,NA,-33.3177902415356,NA,-76.5686115203614,-44.9238461553272,-50.8882741582927,-45.37000082829,-9.2814197801355,NA,NA
168,NA,-47.7897827174691,NA,NA,-60.7767513111482,-78.5024985831899,-64.4145172653356,-69.9919090591819,NA,NA
